run_index,run_name,changed_parameter,changed_value,epochs_requested,imgsz,batch,lr0,optimizer,patience,precision,recall,mAP50,mAP50,mAP50_95,mAP50_95,best_model_path,last_model_path,error
0,run_00_default,none,default,30,640,8,0.01,auto,10,0.825495983,0.789985741,0.881669844,0.881669844,0.740084674,0.740084674,I:\YOLO Train W1\ASL_YOLO26s_13_Run_Results\run_00_default\weights\best.pt,I:\YOLO Train W1\ASL_YOLO26s_13_Run_Results\run_00_default\weights\last.pt,
1,run_01_imgsz_416,imgsz,416,30,416,8,0.01,auto,10,0.85319939,0.801214867,0.872273898,0.872273898,0.732974295,0.732974295,I:\YOLO Train W1\ASL_YOLO26s_13_Run_Results\run_01_imgsz_416\weights\best.pt,I:\YOLO Train W1\ASL_YOLO26s_13_Run_Results\run_01_imgsz_416\weights\last.pt,
2,run_02_imgsz_512,imgsz,512,30,512,8,0.01,auto,10,0.872314632,0.78748521,0.884565638,0.884565638,0.752034057,0.752034057,I:\YOLO Train W1\ASL_YOLO26s_13_Run_Results\run_02_imgsz_512\weights\best.pt,I:\YOLO Train W1\ASL_YOLO26s_13_Run_Results\run_02_imgsz_512\weights\last.pt,
3,run_03_imgsz_768,imgsz,768,30,768,8,0.01,auto,10,0.84080636,0.800066352,0.870046561,0.870046561,0.728335239,0.728335239,I:\YOLO Train W1\ASL_YOLO26s_13_Run_Results\run_03_imgsz_768\weights\best.pt,I:\YOLO Train W1\ASL_YOLO26s_13_Run_Results\run_03_imgsz_768\weights\last.pt,
4,run_04_batch_4,batch,4,30,640,4,0.01,auto,10,0.783764363,0.840639087,0.881980201,0.881980201,0.733066495,0.733066495,I:\YOLO Train W1\ASL_YOLO26s_13_Run_Results\run_04_batch_4\weights\best.pt,I:\YOLO Train W1\ASL_YOLO26s_13_Run_Results\run_04_batch_4\weights\last.pt,
5,run_05_batch_12,batch,12,30,640,12,0.01,auto,10,0.908098234,0.764922003,0.881719154,0.881719154,0.739487957,0.739487957,I:\YOLO Train W1\ASL_YOLO26s_13_Run_Results\run_05_batch_12\weights\best.pt,I:\YOLO Train W1\ASL_YOLO26s_13_Run_Results\run_05_batch_12\weights\last.pt,
6,run_06_batch_16,batch,16,30,640,16,0.01,auto,10,0.855110163,0.776380485,0.869112038,0.869112038,0.726264317,0.726264317,I:\YOLO Train W1\ASL_YOLO26s_13_Run_Results\run_06_batch_16\weights\best.pt,I:\YOLO Train W1\ASL_YOLO26s_13_Run_Results\run_06_batch_16\weights\last.pt,
7,run_07_lr0_0.001,lr0,0.001,30,640,8,0.001,auto,10,0.824044116,0.813559256,0.889653064,0.889653064,0.741465431,0.741465431,I:\YOLO Train W1\ASL_YOLO26s_13_Run_Results\run_07_lr0_0.001\weights\best.pt,I:\YOLO Train W1\ASL_YOLO26s_13_Run_Results\run_07_lr0_0.001\weights\last.pt,
8,run_08_lr0_0.005,lr0,0.005,30,640,8,0.005,auto,10,0.824044116,0.813559256,0.889653064,0.889653064,0.741465431,0.741465431,I:\YOLO Train W1\ASL_YOLO26s_13_Run_Results\run_08_lr0_0.005\weights\best.pt,I:\YOLO Train W1\ASL_YOLO26s_13_Run_Results\run_08_lr0_0.005\weights\last.pt,
9,run_09_lr0_0.02,lr0,0.02,30,640,8,0.02,auto,10,0.824044116,0.813559256,0.889653064,0.889653064,0.741465431,0.741465431,I:\YOLO Train W1\ASL_YOLO26s_13_Run_Results\run_09_lr0_0.02\weights\best.pt,I:\YOLO Train W1\ASL_YOLO26s_13_Run_Results\run_09_lr0_0.02\weights\last.pt,
10,run_10_optimizer_SGD,optimizer,SGD,30,640,8,0.01,SGD,10,0.882877421,0.745096412,0.863874483,0.863874483,0.725324929,0.725324929,I:\YOLO Train W1\ASL_YOLO26s_13_Run_Results\run_10_optimizer_SGD\weights\best.pt,I:\YOLO Train W1\ASL_YOLO26s_13_Run_Results\run_10_optimizer_SGD\weights\last.pt,
11,run_11_optimizer_Adam,optimizer,Adam,30,640,8,0.01,Adam,10,0.766612344,0.791901248,0.837192999,0.837192999,0.677462857,0.677462857,I:\YOLO Train W1\ASL_YOLO26s_13_Run_Results\run_11_optimizer_Adam\weights\best.pt,I:\YOLO Train W1\ASL_YOLO26s_13_Run_Results\run_11_optimizer_Adam\weights\last.pt,
12,run_12_optimizer_AdamW,optimizer,AdamW,30,640,8,0.01,AdamW,10,0.736522908,0.7822354,0.829952919,0.829952919,0.684323636,0.684323636,I:\YOLO Train W1\ASL_YOLO26s_13_Run_Results\run_12_optimizer_AdamW\weights\best.pt,I:\YOLO Train W1\ASL_YOLO26s_13_Run_Results\run_12_optimizer_AdamW\weights\last.pt,
