run_name,changed_parameter,changed_value,epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
run_00_default,none,default,1,924.67,1.16269,3.49861,0.02082,0.75118,0.61477,0.72253,0.58301,0.81386,1.30409,0.01853,0.00999692,0.00333231,0.00999692,0.00333231,0.00999692,0.00333231,0.00999692,0.00333231
run_00_default,none,default,2,1598.74,1.18281,1.72245,0.02112,0.75934,0.62418,0.75677,0.59662,0.86447,1.08135,0.02085,0.019337,0.00644567,0.019337,0.00644567,0.019337,0.00644567,0.019337,0.00644567
run_00_default,none,default,3,2173.07,1.26316,1.68137,0.02276,0.67516,0.61047,0.69258,0.52071,1.00404,1.36569,0.02407,0.0280171,0.00933904,0.0280171,0.00933904,0.0280171,0.00933904,0.0280171,0.00933904
run_00_default,none,default,4,2741.16,1.28405,1.62314,0.02306,0.71311,0.64395,0.73377,0.57154,0.96583,1.22824,0.02334,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
run_00_default,none,default,5,3306.24,1.22859,1.4653,0.02182,0.77234,0.71867,0.81064,0.66168,0.78567,0.91718,0.01786,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
run_00_default,none,default,6,3872.16,1.19082,1.35212,0.02097,0.78057,0.72484,0.80975,0.65107,0.82254,0.89266,0.01946,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
run_00_default,none,default,7,4437.8,1.16241,1.27253,0.02047,0.78783,0.72296,0.8006,0.64449,0.82998,0.89284,0.01933,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
run_00_default,none,default,8,5003.96,1.13985,1.19605,0.01996,0.84897,0.71623,0.81471,0.67149,0.7937,0.98951,0.01846,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
run_00_default,none,default,9,5571.26,1.1248,1.16549,0.01964,0.81217,0.73217,0.83237,0.67875,0.78862,0.90347,0.01827,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
run_00_default,none,default,10,6137.56,1.09825,1.09104,0.01912,0.7716,0.79325,0.84279,0.69535,0.77596,0.80681,0.01786,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
run_00_default,none,default,11,6703.11,1.08333,1.05459,0.01872,0.84768,0.74102,0.84507,0.70831,0.73322,0.77657,0.01638,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
run_00_default,none,default,12,7269.4,1.07062,1.02675,0.01856,0.8389,0.76535,0.85414,0.70441,0.76724,0.70524,0.01778,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637
run_00_default,none,default,13,7833.99,1.05421,0.99471,0.01827,0.83737,0.78209,0.86294,0.72118,0.72677,0.7715,0.01642,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
run_00_default,none,default,14,8401.04,1.04539,0.95858,0.01811,0.78183,0.8123,0.86812,0.7194,0.73521,0.68728,0.01664,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571
run_00_default,none,default,15,8966.95,1.0275,0.93712,0.0177,0.79697,0.80324,0.84838,0.70344,0.75099,0.75448,0.01711,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538
run_00_default,none,default,16,9532.36,1.01838,0.91972,0.01755,0.85501,0.78675,0.87128,0.72134,0.72856,0.70708,0.01646,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
