image_name,image_path,record_type,successful,predicted_class_id,predicted_letter,true_class_id,true_letter,confidence,iou
Kenten_K_2.jpg,I:\YOLO Train W1\database_structure_final\images\val\Kenten_K_2.jpg,true_positive,True,10.0,K,10.0,K,0.9592537879943848,0.9300603890425391
Kenten_X_1.jpg,I:\YOLO Train W1\database_structure_final\images\val\Kenten_X_1.jpg,true_positive,True,23.0,X,23.0,X,0.9524296522140503,0.8636830527597235
Kenten_N_1.jpg,I:\YOLO Train W1\database_structure_final\images\val\Kenten_N_1.jpg,true_positive,True,13.0,N,13.0,N,0.9517683386802673,0.9665245899151658
Kenten_B_1.jpg,I:\YOLO Train W1\database_structure_final\images\val\Kenten_B_1.jpg,true_positive,True,1.0,B,1.0,B,0.950354278087616,0.9752765092389033
Kenten_X_2.jpeg,I:\YOLO Train W1\database_structure_final\images\val\Kenten_X_2.jpeg,true_positive,True,23.0,X,23.0,X,0.9477500915527344,0.8674690953662031
Henry_B_01.png,I:\YOLO Train W1\database_structure_final\images\val\Henry_B_01.png,true_positive,True,1.0,B,1.0,B,0.9474771022796631,0.8794717266606993
Kenten_W_2.jpeg,I:\YOLO Train W1\database_structure_final\images\val\Kenten_W_2.jpeg,true_positive,True,22.0,W,22.0,W,0.9462058544158936,0.9498973533172658
Kenten_I_1.jpg,I:\YOLO Train W1\database_structure_final\images\val\Kenten_I_1.jpg,true_positive,True,8.0,I,8.0,I,0.9436607360839844,0.9445643972712569
CLA200_F_01.JPG,I:\YOLO Train W1\database_structure_final\images\val\CLA200_F_01.JPG,true_positive,True,5.0,F,5.0,F,0.9434006214141846,0.9580078179212621
CLA200_G_01.JPG,I:\YOLO Train W1\database_structure_final\images\val\CLA200_G_01.JPG,true_positive,True,6.0,G,6.0,G,0.9423900842666626,0.8469438769487462
TIGER_L_2.jpeg,I:\YOLO Train W1\database_structure_final\images\val\TIGER_L_2.jpeg,true_positive,True,11.0,L,11.0,L,0.94187331199646,0.8811632594396128
Kenten_E_1.jpg,I:\YOLO Train W1\database_structure_final\images\val\Kenten_E_1.jpg,true_positive,True,4.0,E,4.0,E,0.9414275288581848,0.8754408208621013
Kenten_L_1.jpg,I:\YOLO Train W1\database_structure_final\images\val\Kenten_L_1.jpg,true_positive,True,11.0,L,11.0,L,0.9409693479537964,0.9297257610834034
Kenten_B_2.jpeg,I:\YOLO Train W1\database_structure_final\images\val\Kenten_B_2.jpeg,true_positive,True,1.0,B,1.0,B,0.9409311413764954,0.945559730891457
Kenten_V_2.jpeg,I:\YOLO Train W1\database_structure_final\images\val\Kenten_V_2.jpeg,true_positive,True,21.0,V,21.0,V,0.9387199282646179,0.9617776309286714
Kenten_J_1.jpg,I:\YOLO Train W1\database_structure_final\images\val\Kenten_J_1.jpg,true_positive,True,9.0,J,9.0,J,0.9377912282943726,0.9097088086540417
Kenten_C_1.jpg,I:\YOLO Train W1\database_structure_final\images\val\Kenten_C_1.jpg,true_positive,True,2.0,C,2.0,C,0.9368466138839722,0.9004594543565128
Kenten_Y_2.jpeg,I:\YOLO Train W1\database_structure_final\images\val\Kenten_Y_2.jpeg,true_positive,True,24.0,Y,24.0,Y,0.93506920337677,0.8689291539086729
