epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1091.47,1.1986,3.40977,0.02183,0.63239,0.61088,0.69088,0.55314,0.81765,1.25161,0.01917,0.00999846,0.00333282,0.00999846,0.00333282,0.00999846,0.00333282,0.00999846,0.00333282
2,1949.19,1.23552,1.81374,0.02275,0.72012,0.68987,0.76245,0.60778,0.82938,1.12882,0.01946,0.0193385,0.00644617,0.0193385,0.00644617,0.0193385,0.00644617,0.0193385,0.00644617
3,2767.13,1.29444,1.78472,0.02382,0.67717,0.66819,0.71681,0.53404,0.99556,1.24669,0.02385,0.0280186,0.00933952,0.0280186,0.00933952,0.0280186,0.00933952,0.0280186,0.00933952
4,3531.54,1.31869,1.70133,0.02422,0.72266,0.65018,0.75666,0.5638,0.99581,1.19246,0.02443,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
5,4309.4,1.28248,1.5304,0.02337,0.82218,0.70145,0.815,0.64348,0.85084,0.99101,0.01972,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
6,5066.92,1.21891,1.41385,0.02202,0.83616,0.73944,0.81494,0.656,0.79081,0.9816,0.01838,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
7,5841.15,1.19923,1.33384,0.02165,0.76536,0.69255,0.77295,0.62609,0.86293,1.11165,0.02082,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
8,6612.06,1.17246,1.27308,0.02088,0.7832,0.74542,0.82972,0.67128,0.83856,0.90053,0.0197,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
9,7384.84,1.146,1.20605,0.02033,0.80025,0.7676,0.83029,0.69061,0.76461,0.84036,0.01774,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
10,8161.28,1.12829,1.16355,0.02008,0.88664,0.74677,0.85509,0.70815,0.76203,0.89602,0.01745,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
11,8919.68,1.10948,1.11838,0.01984,0.78747,0.76279,0.81437,0.67743,0.78885,0.90546,0.01827,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
12,9695.58,1.09688,1.06923,0.0195,0.75615,0.78986,0.83689,0.68593,0.81065,0.91121,0.01874,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637
13,10454.4,1.08385,1.05564,0.01919,0.83174,0.71195,0.7898,0.65753,0.75423,1.07801,0.01744,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
14,11230.1,1.07179,1.01565,0.01902,0.8385,0.7683,0.83801,0.6999,0.75954,0.87467,0.0171,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571
15,11988.1,1.04978,0.97676,0.01857,0.79488,0.80357,0.84889,0.7172,0.7026,0.8161,0.01604,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538
16,12747,1.03537,0.97543,0.01821,0.78858,0.78863,0.83075,0.69717,0.72708,0.85094,0.01661,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
17,13523.9,1.02512,0.93163,0.01792,0.77091,0.8159,0.84226,0.69878,0.73397,0.84919,0.01649,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472
18,14281.6,1.01516,0.90677,0.01778,0.78225,0.7858,0.8509,0.7039,0.74475,0.81138,0.01701,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439
19,15130.9,0.99572,0.88077,0.01742,0.87908,0.73495,0.85503,0.71238,0.74395,0.78923,0.01697,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
20,15986.8,0.98231,0.86256,0.01726,0.8085,0.7912,0.85945,0.72287,0.7408,0.8042,0.01664,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373
21,16716.5,0.82139,0.40122,0.01998,0.8678,0.76829,0.88211,0.73177,0.75397,0.73156,0.01724,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034
22,17451.9,0.80437,0.38428,0.01949,0.79685,0.81119,0.86181,0.71866,0.76114,0.77763,0.01721,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
23,18186,0.77943,0.37108,0.01883,0.83889,0.79887,0.87286,0.72408,0.75658,0.76071,0.0171,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274
24,18920.7,0.75983,0.35605,0.01829,0.81759,0.80566,0.86016,0.71656,0.74753,0.7784,0.01685,0.00723,0.00241,0.00723,0.00241,0.00723,0.00241,0.00723,0.00241
25,19640.5,0.74413,0.3392,0.01793,0.85485,0.75923,0.85757,0.70755,0.75864,0.82687,0.01706,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
26,20358.2,0.72455,0.3254,0.0174,0.79513,0.79278,0.84436,0.70082,0.74979,0.8687,0.0168,0.00525,0.00175,0.00525,0.00175,0.00525,0.00175,0.00525,0.00175
27,21078.1,0.70705,0.318,0.01696,0.79824,0.79111,0.83612,0.69817,0.74841,0.89836,0.01677,0.00426,0.00142,0.00426,0.00142,0.00426,0.00142,0.00426,0.00142
28,21899.9,0.6944,0.30474,0.0166,0.83216,0.7545,0.83746,0.70239,0.74594,0.92209,0.01673,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
29,22744.2,0.67619,0.30296,0.01612,0.81691,0.76362,0.83307,0.6962,0.74449,0.94714,0.01667,0.00228,0.00076,0.00228,0.00076,0.00228,0.00076,0.00228,0.00076
30,23507.2,0.6614,0.29806,0.01578,0.80095,0.78355,0.83605,0.70061,0.74507,0.97038,0.01669,0.00129,0.00043,0.00129,0.00043,0.00129,0.00043,0.00129,0.00043
