epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1240.94,1.16478,3.52275,0.02082,0.59956,0.6096,0.69653,0.5571,0.84389,1.36959,0.01983,0.00999692,0.00333231,0.00999692,0.00333231,0.00999692,0.00333231,0.00999692,0.00333231
2,2221.35,1.18986,1.72004,0.02133,0.68225,0.67865,0.73226,0.58357,0.83039,1.30084,0.01917,0.019337,0.00644567,0.019337,0.00644567,0.019337,0.00644567,0.019337,0.00644567
3,3133.6,1.25754,1.66033,0.02261,0.56,0.64266,0.64848,0.49676,0.94605,1.56499,0.02281,0.0280171,0.00933904,0.0280171,0.00933904,0.0280171,0.00933904,0.0280171,0.00933904
4,4029.39,1.28915,1.6437,0.023,0.71298,0.64338,0.72609,0.56856,0.88288,1.23389,0.02129,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
5,4923.91,1.24052,1.44909,0.02191,0.78077,0.70423,0.80128,0.6474,0.81007,0.92851,0.01869,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
6,5817.04,1.20031,1.33332,0.02121,0.71277,0.71978,0.78258,0.63351,0.79382,0.97041,0.01832,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
7,6712.12,1.16958,1.25347,0.02053,0.8509,0.67012,0.80832,0.63904,0.86183,0.9148,0.02055,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
8,7607.7,1.14573,1.1791,0.01996,0.76284,0.77667,0.83436,0.67939,0.82141,0.82863,0.01935,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
9,8500.07,1.12568,1.14171,0.0196,0.76842,0.73404,0.82555,0.68025,0.77614,0.87202,0.01816,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
10,9395.21,1.10451,1.09618,0.01919,0.77154,0.7891,0.8419,0.69333,0.78843,0.78475,0.01839,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
11,10285.9,1.08603,1.04912,0.01889,0.83324,0.74034,0.83133,0.68291,0.78985,0.83934,0.01861,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
12,11181.1,1.07187,1.01642,0.0186,0.79094,0.7669,0.83605,0.69082,0.77203,0.79798,0.01812,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637
13,12075.4,1.0561,0.98398,0.01828,0.84309,0.77704,0.85262,0.71092,0.73184,0.75988,0.01685,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
14,12969.9,1.04634,0.94316,0.01818,0.82074,0.81855,0.88929,0.73802,0.70665,0.65057,0.01604,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571
15,13861.9,1.02732,0.92684,0.01782,0.86372,0.74634,0.86808,0.72453,0.73206,0.74254,0.01667,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538
16,14755.2,1.01789,0.9089,0.01753,0.87038,0.78952,0.87107,0.73094,0.72093,0.71252,0.01662,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
17,15651.1,0.99895,0.87556,0.01706,0.7991,0.81764,0.86273,0.72304,0.71908,0.75051,0.01633,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472
18,16543.6,0.9845,0.85356,0.01687,0.81644,0.8033,0.85884,0.70949,0.76134,0.74762,0.01746,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439
19,17435.7,0.96726,0.82659,0.01652,0.77268,0.85319,0.87605,0.73018,0.72547,0.6768,0.01661,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
20,18329.1,0.95564,0.80924,0.0163,0.84949,0.80585,0.8725,0.72938,0.71323,0.70769,0.01612,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373
21,19178.3,0.80295,0.37321,0.01956,0.82633,0.78476,0.86954,0.72128,0.73964,0.73378,0.01688,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034
22,20024.7,0.78335,0.35406,0.01902,0.91385,0.72938,0.86271,0.70469,0.76429,0.7259,0.01763,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
23,20870.5,0.76106,0.34101,0.01843,0.87873,0.78382,0.86449,0.70957,0.77081,0.7271,0.01767,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274
24,21716.9,0.73978,0.33428,0.01782,0.8001,0.79949,0.84745,0.70043,0.76395,0.82816,0.01751,0.00723,0.00241,0.00723,0.00241,0.00723,0.00241,0.00723,0.00241
