epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,893.502,1.14812,4.14936,0.02036,0.45149,0.57146,0.53768,0.42817,0.84303,1.67743,0.01978,0.00333231,0.00333231,0.0700092
2,1770.28,1.16535,1.98113,0.02079,0.67543,0.54429,0.68169,0.54429,0.84733,1.43911,0.01979,0.00644567,0.00644567,0.0397893
3,2609.46,1.2198,1.79111,0.02187,0.63922,0.63663,0.72525,0.55042,0.95818,1.3051,0.02302,0.00933904,0.00933904,0.0093493
4,3435.98,1.26559,1.6686,0.02265,0.63527,0.64883,0.70429,0.53466,0.97476,1.25579,0.02365,0.00901,0.00901,0.00901
5,4269.99,1.21938,1.49095,0.02158,0.70049,0.72425,0.78316,0.63004,0.8264,1.00619,0.01947,0.00868,0.00868,0.00868
6,5097.85,1.1849,1.38997,0.02094,0.73906,0.70665,0.76087,0.61477,0.81936,0.99891,0.01947,0.00835,0.00835,0.00835
7,5923.13,1.15709,1.3133,0.02041,0.76944,0.68864,0.79451,0.62693,0.87549,1.01669,0.02155,0.00802,0.00802,0.00802
8,6749.94,1.1425,1.24029,0.01993,0.86501,0.73512,0.82752,0.67238,0.79352,0.80805,0.0186,0.00769,0.00769,0.00769
9,7605.9,1.11922,1.21002,0.01945,0.82766,0.74451,0.81254,0.65821,0.82754,0.88901,0.01936,0.00736,0.00736,0.00736
10,8433.99,1.106,1.15978,0.0193,0.82071,0.69659,0.8037,0.66131,0.80425,0.91412,0.01901,0.00703,0.00703,0.00703
11,9260.05,1.09031,1.1148,0.01903,0.84721,0.75969,0.83753,0.70034,0.73767,0.81017,0.01707,0.0067,0.0067,0.0067
12,9812.72,1.0688,1.09358,0.01855,0.82999,0.76992,0.84879,0.70701,0.75261,0.78984,0.01738,0.00637,0.00637,0.00637
13,10547.6,1.0548,1.04202,0.01829,0.84326,0.75019,0.82289,0.68909,0.74817,0.87851,0.01724,0.00604,0.00604,0.00604
14,11372.5,1.04171,1.00939,0.01811,0.86377,0.77534,0.85633,0.71196,0.73966,0.7837,0.01688,0.00571,0.00571,0.00571
15,12195.3,1.02759,0.97253,0.01785,0.81131,0.77232,0.84354,0.70208,0.73867,0.83198,0.01693,0.00538,0.00538,0.00538
16,13012.5,1.01988,0.97017,0.01759,0.89377,0.73887,0.84978,0.70988,0.71906,0.81156,0.01651,0.00505,0.00505,0.00505
17,13686.2,0.99685,0.92711,0.01708,0.88974,0.72747,0.85147,0.71144,0.72487,0.84481,0.01655,0.00472,0.00472,0.00472
18,14517.5,0.98839,0.90968,0.01693,0.88445,0.73653,0.84405,0.70878,0.71276,0.85615,0.01627,0.00439,0.00439,0.00439
19,15381.5,0.97771,0.86967,0.01675,0.88256,0.7452,0.868,0.72759,0.72347,0.77556,0.01645,0.00406,0.00406,0.00406
20,16248.8,0.96347,0.85192,0.01649,0.82989,0.78618,0.86203,0.72267,0.72226,0.77408,0.0165,0.00373,0.00373,0.00373
21,17062.4,0.80134,0.40047,0.01949,0.79783,0.78206,0.84016,0.71381,0.69376,0.84763,0.01579,0.0034,0.0034,0.0034
22,17827.2,0.7892,0.37757,0.01918,0.87402,0.73294,0.8423,0.70842,0.69609,0.82544,0.01593,0.00307,0.00307,0.00307
23,18626.8,0.77426,0.35901,0.01874,0.81389,0.78412,0.84694,0.70845,0.70845,0.81191,0.0162,0.00274,0.00274,0.00274
24,19421.4,0.75363,0.34528,0.01818,0.80022,0.80928,0.85147,0.71601,0.71513,0.80497,0.01632,0.00241,0.00241,0.00241
25,20209.8,0.73457,0.33605,0.0177,0.81943,0.80056,0.85215,0.71894,0.7102,0.80224,0.01621,0.00208,0.00208,0.00208
26,21007.9,0.71414,0.3278,0.01714,0.82522,0.79648,0.85184,0.71187,0.71817,0.81665,0.01629,0.00175,0.00175,0.00175
27,21768.3,0.70251,0.31298,0.01685,0.85539,0.77904,0.84923,0.71339,0.72503,0.81515,0.01653,0.00142,0.00142,0.00142
28,22501.5,0.68773,0.30453,0.01644,0.84626,0.78244,0.84724,0.71066,0.73006,0.82935,0.01665,0.00109,0.00109,0.00109
29,23292.5,0.67793,0.29721,0.01616,0.81663,0.80999,0.85349,0.71392,0.7276,0.8349,0.01659,0.00076,0.00076,0.00076
