epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,925.3,1.72886,3.25687,0.03222,0.33823,0.2492,0.24413,0.15033,2.04815,3.41898,0.06133,0.00333231,0.00333231,0.0700092
2,1753.52,1.6419,2.66913,0.03067,0.39704,0.41201,0.41477,0.28105,1.29293,2.07561,0.03252,0.00644567,0.00644567,0.0397893
3,2610.31,1.56857,2.47237,0.02913,0.38672,0.61471,0.51195,0.34856,1.23254,1.62629,0.03121,0.00933904,0.00933904,0.0093493
4,3461.68,1.53362,2.35847,0.02831,0.42649,0.6067,0.58432,0.40565,1.1794,1.69945,0.02795,0.00901,0.00901,0.00901
5,4315.5,1.52136,2.241,0.02795,0.57363,0.55241,0.58786,0.43225,1.12046,1.54671,0.02767,0.00868,0.00868,0.00868
6,5166.69,1.48754,2.1593,0.02736,0.57232,0.62066,0.62583,0.45209,1.09356,1.40374,0.02622,0.00835,0.00835,0.00835
7,6009.22,1.46121,2.10529,0.02696,0.60571,0.60458,0.64257,0.47633,1.05456,1.37205,0.02567,0.00802,0.00802,0.00802
8,6821.34,1.44959,2.03873,0.02647,0.59211,0.63358,0.67416,0.50522,1.01239,1.25812,0.02406,0.00769,0.00769,0.00769
9,7638.01,1.43014,1.9878,0.02622,0.57607,0.59037,0.64354,0.47172,1.04384,1.29702,0.02472,0.00736,0.00736,0.00736
10,8453.22,1.4121,1.96449,0.02586,0.54393,0.65303,0.6633,0.49648,0.98894,1.24209,0.02396,0.00703,0.00703,0.00703
11,9069.51,1.41143,1.89638,0.02593,0.66277,0.59938,0.69554,0.53174,1.0076,1.13895,0.02408,0.0067,0.0067,0.0067
12,9890.39,1.38714,1.87676,0.02543,0.69,0.64999,0.73825,0.56445,0.95206,1.11498,0.02219,0.00637,0.00637,0.00637
13,10711.5,1.36849,1.85005,0.02501,0.70077,0.6418,0.73674,0.56675,0.95621,1.08506,0.0226,0.00604,0.00604,0.00604
14,11534.9,1.36538,1.81058,0.02503,0.6574,0.69535,0.73365,0.57159,0.93276,1.08485,0.02178,0.00571,0.00571,0.00571
15,12359.1,1.3422,1.77965,0.02464,0.74851,0.62715,0.73521,0.57317,0.91637,1.05436,0.0214,0.00538,0.00538,0.00538
16,13183.8,1.33362,1.77925,0.02429,0.78334,0.64502,0.76274,0.59137,0.9192,1.02025,0.02133,0.00505,0.00505,0.00505
17,14006,1.31443,1.7261,0.02384,0.74025,0.64975,0.76497,0.59681,0.91059,1.04792,0.02139,0.00472,0.00472,0.00472
18,14828.5,1.30791,1.70402,0.0238,0.72055,0.71207,0.78748,0.61345,0.91401,1.00496,0.02127,0.00439,0.00439,0.00439
19,15649.7,1.29394,1.67648,0.02355,0.74783,0.69696,0.77171,0.60574,0.89384,0.9889,0.02096,0.00406,0.00406,0.00406
20,16470.3,1.27748,1.64368,0.02323,0.77614,0.69016,0.77791,0.62015,0.85349,0.95704,0.01981,0.00373,0.00373,0.00373
21,17245.2,1.15915,0.96249,0.02978,0.76384,0.67466,0.78529,0.63694,0.83941,0.91852,0.01952,0.0034,0.0034,0.0034
22,18018.6,1.11469,0.87994,0.02839,0.76783,0.73091,0.81047,0.65524,0.8341,0.88227,0.01926,0.00307,0.00307,0.00307
23,18792.6,1.09183,0.8358,0.02772,0.81894,0.71811,0.80683,0.65472,0.83344,0.89314,0.01921,0.00274,0.00274,0.00274
24,19566.7,1.0697,0.80244,0.02708,0.80261,0.73188,0.81534,0.66605,0.83873,0.90248,0.01942,0.00241,0.00241,0.00241
25,20340.6,1.04719,0.77704,0.02649,0.7896,0.7664,0.82044,0.66924,0.83228,0.88284,0.01929,0.00208,0.00208,0.00208
26,21115.6,1.02839,0.74498,0.0259,0.76858,0.77605,0.81785,0.66538,0.82883,0.86541,0.01923,0.00175,0.00175,0.00175
27,21890,1.00353,0.72335,0.02517,0.80281,0.74943,0.831,0.67552,0.8332,0.84676,0.01927,0.00142,0.00142,0.00142
28,22674.3,0.98126,0.68637,0.02456,0.79345,0.73421,0.82867,0.67519,0.82643,0.84922,0.01918,0.00109,0.00109,0.00109
29,23454,0.96215,0.66022,0.02401,0.81217,0.75231,0.8367,0.67853,0.82523,0.83789,0.01921,0.00076,0.00076,0.00076
30,24227.9,0.94118,0.62824,0.02356,0.78919,0.76193,0.83711,0.67858,0.8226,0.8454,0.01923,0.00043,0.00043,0.00043
