epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,893.029,1.71534,3.20029,0.03192,0.43145,0.37857,0.38389,0.26827,1.32692,2.16889,0.03318,0.00333231,0.00333231,0.0700092
2,1731.65,1.56652,2.47443,0.02919,0.47726,0.48565,0.5218,0.36992,1.14348,1.8506,0.02772,0.00644567,0.00644567,0.0397893
3,2556.07,1.46666,2.15872,0.02703,0.46961,0.59307,0.58727,0.43359,1.07023,1.4625,0.02631,0.00933904,0.00933904,0.0093493
4,3377.19,1.39653,1.96806,0.02544,0.48086,0.5607,0.49659,0.37496,1.01682,1533.8,0.02469,0.00901,0.00901,0.00901
5,4198.46,1.34464,1.80593,0.02431,0.63649,0.61639,0.69664,0.51876,1.08913,1.23156,0.02658,0.00868,0.00868,0.00868
6,5019.19,1.30823,1.70542,0.02368,0.58646,0.67425,0.71208,0.55297,0.90253,1.17516,0.02163,0.00835,0.00835,0.00835
7,5841.18,1.28228,1.61536,0.02329,0.72083,0.71404,0.774,0.61414,0.86361,1.0281,0.02055,0.00802,0.00802,0.00802
8,6661.25,1.25138,1.55245,0.02243,0.81997,0.6929,0.7746,0.61606,0.87106,0.96856,0.02056,0.00769,0.00769,0.00769
9,7481.77,1.23061,1.49565,0.02212,0.73279,0.75342,0.79534,0.64839,0.79229,0.98469,0.01851,0.00736,0.00736,0.00736
10,8303.32,1.21785,1.46265,0.02186,0.69723,0.73756,0.79212,0.62187,0.88604,1.0195,0.02083,0.00703,0.00703,0.00703
11,9124.68,1.19702,1.40303,0.02152,0.77096,0.71015,0.78059,0.62849,0.8319,0.97004,0.01977,0.0067,0.0067,0.0067
12,9944.76,1.17397,1.37609,0.02107,0.7775,0.6994,0.79418,0.6476,0.7968,0.90258,0.01873,0.00637,0.00637,0.00637
13,10766.3,1.15315,1.33508,0.02066,0.73524,0.75637,0.81356,0.65164,0.84633,0.91118,0.02012,0.00604,0.00604,0.00604
14,11587.5,1.14493,1.29224,0.02054,0.76306,0.75648,0.80535,0.65244,0.82104,0.86961,0.01925,0.00571,0.00571,0.00571
15,12408.1,1.13093,1.26152,0.02026,0.80676,0.7318,0.81913,0.66175,0.80406,0.87993,0.01901,0.00538,0.00538,0.00538
16,13228.8,1.11641,1.2509,0.0198,0.75821,0.75648,0.81166,0.66206,0.79052,0.88,0.01852,0.00505,0.00505,0.00505
17,14050,1.10502,1.21703,0.01953,0.85558,0.70653,0.83041,0.68423,0.78398,0.81956,0.01833,0.00472,0.00472,0.00472
18,14870.5,1.09102,1.18918,0.01934,0.7702,0.76351,0.81215,0.66301,0.78635,0.87981,0.01826,0.00439,0.00439,0.00439
19,15690.8,1.07286,1.1578,0.01902,0.79501,0.76399,0.82286,0.67344,0.78683,0.90346,0.01845,0.00406,0.00406,0.00406
20,16513.9,1.06167,1.13772,0.01882,0.81318,0.73582,0.82966,0.67696,0.80099,0.86888,0.01866,0.00373,0.00373,0.00373
21,17286.8,0.93183,0.56208,0.02336,0.81553,0.75291,0.8112,0.66227,0.79524,0.90869,0.01823,0.0034,0.0034,0.0034
22,18060.9,0.89916,0.52127,0.02239,0.83755,0.75201,0.8222,0.67418,0.78293,0.89248,0.01787,0.00307,0.00307,0.00307
23,18737.1,0.87065,0.50376,0.02155,0.82251,0.7461,0.80563,0.65571,0.81011,0.93045,0.01866,0.00274,0.00274,0.00274
24,19519,0.85487,0.47742,0.02105,0.83588,0.73043,0.81146,0.65846,0.82177,0.92309,0.01885,0.00241,0.00241,0.00241
25,20276.2,0.83731,0.45926,0.02065,0.84574,0.7313,0.81763,0.66542,0.80509,0.92423,0.01826,0.00208,0.00208,0.00208
26,21007.9,0.82222,0.44856,0.02022,0.83154,0.75187,0.80417,0.66002,0.7922,0.93239,0.01794,0.00175,0.00175,0.00175
27,21633,0.80729,0.42683,0.01976,0.87602,0.71213,0.80377,0.65682,0.7877,0.9457,0.01785,0.00142,0.00142,0.00142
