epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,847.066,1.06608,3.44861,0.02649,0.68711,0.6586,0.72228,0.55909,0.84789,1.36545,0.02008,0.00999692,0.00333231,0.00999692,0.00333231,0.00999692,0.00333231,0.00999692,0.00333231
2,1418.14,1.10384,1.04458,0.02767,0.673,0.58858,0.655,0.51343,0.91218,1.35127,0.02167,0.019337,0.00644567,0.019337,0.00644567,0.019337,0.00644567,0.019337,0.00644567
3,1939.06,1.15726,1.05439,0.02918,0.67786,0.56999,0.67563,0.5148,0.98028,1.40141,0.02365,0.0280171,0.00933904,0.0280171,0.00933904,0.0280171,0.00933904,0.0280171,0.00933904
4,2451.85,1.1668,0.97226,0.02931,0.65115,0.64825,0.6789,0.50687,1.01891,1.25972,0.02411,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
5,2964.08,1.10273,0.7999,0.02747,0.80261,0.6873,0.79332,0.61816,0.89783,0.90501,0.02103,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
6,3477.03,1.07166,0.70846,0.02655,0.77379,0.69374,0.77529,0.60995,0.89233,0.98213,0.02072,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
7,3989.08,1.02971,0.6545,0.0254,0.78064,0.7052,0.77778,0.60383,0.94363,1.03312,0.02249,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
8,4501.93,1.00241,0.59584,0.0245,0.81249,0.76665,0.82446,0.65138,0.90106,0.90759,0.0212,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
9,5015.55,0.97531,0.56693,0.02389,0.75858,0.70858,0.77601,0.60612,0.91629,1.05181,0.02214,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
10,5528.16,0.94914,0.5395,0.02314,0.7915,0.74977,0.796,0.63473,0.84724,0.92722,0.01977,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
