letter,total_images,correct_predictions,accuracy,incorrect_predictions,accuracy_percent
A,8,2,0.25,6,25.0
B,8,5,0.625,3,62.5
C,8,5,0.625,3,62.5
D,8,6,0.75,2,75.0
E,8,2,0.25,6,25.0
F,8,0,0.0,8,0.0
G,8,3,0.375,5,37.5
H,8,3,0.375,5,37.5
I,8,5,0.625,3,62.5
J,8,7,0.875,1,87.5
K,8,4,0.5,4,50.0
L,8,5,0.625,3,62.5
M,8,2,0.25,6,25.0
N,8,5,0.625,3,62.5
O,8,5,0.625,3,62.5
P,8,4,0.5,4,50.0
Q,8,4,0.5,4,50.0
R,8,5,0.625,3,62.5
S,8,7,0.875,1,87.5
T,8,1,0.125,7,12.5
U,8,5,0.625,3,62.5
V,8,5,0.625,3,62.5
W,8,8,1.0,0,100.0
X,8,3,0.375,5,37.5
Y,8,7,0.875,1,87.5
Z,8,3,0.375,5,37.5
