epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,21.2168,3.26458,0.05288,0.24038,3.24843,0.000107829,0.000107829,0.000107829
2,41.0598,2.44857,0.30769,0.65385,2.4258,0.000214496,0.000214496,0.000214496
3,60.1581,1.35431,0.44712,0.80769,1.81428,0.000316767,0.000316767,0.000316767
4,79.096,0.85916,0.5,0.85096,1.66943,0.00031322,0.00031322,0.00031322
5,97.9801,0.68843,0.50481,0.84615,1.69738,0.000306626,0.000306626,0.000306626
6,116.739,0.52092,0.4375,0.80769,1.8071,0.000300033,0.000300033,0.000300033
7,135.426,0.46462,0.53365,0.85096,1.7169,0.00029344,0.00029344,0.00029344
8,155.052,0.40948,0.47596,0.79327,1.83354,0.000286846,0.000286846,0.000286846
9,173.923,0.34586,0.52885,0.85096,1.57226,0.000280253,0.000280253,0.000280253
10,193.158,0.37328,0.52404,0.79327,1.66339,0.000273659,0.000273659,0.000273659
11,212.184,0.3108,0.52404,0.80288,1.77969,0.000267066,0.000267066,0.000267066
12,231.191,0.25388,0.53846,0.79327,1.68817,0.000260473,0.000260473,0.000260473
13,249.637,0.22827,0.53846,0.78365,1.76863,0.000253879,0.000253879,0.000253879
14,268.207,0.24789,0.54327,0.79808,1.65364,0.000247286,0.000247286,0.000247286
15,286.964,0.24952,0.47596,0.75,1.75394,0.000240692,0.000240692,0.000240692
16,305.655,0.2502,0.47115,0.75481,2.07644,0.000234099,0.000234099,0.000234099
17,324.293,0.20441,0.51442,0.78365,1.86098,0.000227506,0.000227506,0.000227506
